"Id","ProcessName","MainWindowTitle"
"4124","adb",""
"5688","AggregatorHost",""
"1536","Antigravity",""
"1972","Antigravity",""
"1988","Antigravity",""
"2488","Antigravity","homefix - Antigravity - PROFILE_IMAGE_QUICK_GUIDE.md?"
"3284","Antigravity",""
"3880","Antigravity",""
"5256","Antigravity",""
"7112","Antigravity",""
"7248","Antigravity",""
"8060","Antigravity",""
"8252","Antigravity",""
"8700","Antigravity",""
"8844","Antigravity",""
"9220","Antigravity",""
"9644","Antigravity",""
"10580","Antigravity",""
"10636","Antigravity",""
"11212","Antigravity",""
"13172","Antigravity",""
"13208","Antigravity",""
"1772","ApplicationFrameHost",""
"2228","chrome","Technician Dashboard Refactor - Google Chrome"
"3556","chrome",""
"6028","chrome",""
"6844","chrome",""
"9312","chrome",""
"9948","chrome",""
"10100","chrome",""
"12684","chrome",""
"13108","chrome",""
"5492","cmd",""
"13128","CompPkgSrv",""
"2372","conhost",""
"3476","conhost",""
"4704","conhost",""
"7720","conhost",""
"10488","conhost",""
"10644","conhost",""
"692","csrss",""
"796","csrss",""
"5328","ctfmon",""
"5408","dllhost",""
"1656","dwm",""
"6216","explorer",""
"392","fontdrvhost",""
"1144","fontdrvhost",""
"0","Idle",""
"2000","igfxCUIService",""
"2888","igfxEM",""
"1384","IntelCpHDCPSvc",""
"1872","IntelCpHeciSvc",""
"12896","java",""
"4012","jhi_service",""
"2844","language_server_windows_x64",""
"4032","LMS",""
"876","lsass",""
"10164","M365Copilot",""
"2756","Memory Compression",""
"3972","MpDefenderCoreService",""
"9588","msedge",""
"11828","msedge",""
"12224","msedge",""
"12848","msedge",""
"13160","msedge",""
"964","msedgewebview2",""
"2312","msedgewebview2",""
"6908","msedgewebview2",""
"7352","msedgewebview2",""
"8900","msedgewebview2",""
"8924","msedgewebview2",""
"9396","msedgewebview2",""
"9428","msedgewebview2",""
"9804","msedgewebview2",""
"10572","msedgewebview2",""
"10760","msedgewebview2",""
"10768","msedgewebview2",""
"10800","msedgewebview2",""
"10956","msedgewebview2",""
"11404","msedgewebview2",""
"11412","msedgewebview2",""
"11440","msedgewebview2",""
"11500","msedgewebview2",""
"3956","MsMpEng",""
"5276","NisSrv",""
"3992","OneApp.IGCC.WinService",""
"6420","OneDrive",""
"7580","OneDrive.Sync.Service",""
"6860","powershell",""
"9400","powershell",""
"12092","powershell",""
"100","Registry",""
"4200","RemoteMouse",""
"5116","RemoteMouseCore",""
"3984","RemoteMouseService",""
"9064","RemoteServerWin",""
"3936","RtkAudUService64",""
"8620","RtkAudUService64",""
"12540","rundll32",""
"932","RuntimeBroker",""
"6776","RuntimeBroker",""
"7212","RuntimeBroker",""
"7620","RuntimeBroker",""
"8336","RuntimeBroker",""
"12996","RuntimeBroker",""
"13112","RuntimeBroker",""
"7516","SearchApp",""
"7640","SearchApp",""
"14144","SearchFilterHost",""
"5592","SearchIndexer",""
"14116","SearchProtocolHost",""
"5904","SecurityHealthService",""
"8536","SecurityHealthSystray",""
"860","services",""
"8048","ShellExperienceHost",""
"4324","sihost",""
"432","smss",""
"3492","spoolsv",""
"6492","StartMenuExperienceHost",""
"512","svchost",""
"808","svchost",""
"1008","svchost",""
"1028","svchost",""
"1156","svchost",""
"1184","svchost",""
"1236","svchost",""
"1268","svchost",""
"1272","svchost",""
"1284","svchost",""
"1292","svchost",""
"1416","svchost",""
"1492","svchost",""
"1504","svchost",""
"1512","svchost",""
"1616","svchost",""
"1664","svchost",""
"1844","svchost",""
"1856","svchost",""
"1868","svchost",""
"1916","svchost",""
"2080","svchost",""
"2088","svchost",""
"2176","svchost",""
"2188","svchost",""
"2240","svchost",""
"2320","svchost",""
"2332","svchost",""
"2352","svchost",""
"2412","svchost",""
"2444","svchost",""
"2480","svchost",""
"2496","svchost",""
"2592","svchost",""
"2632","svchost",""
"2640","svchost",""
"2664","svchost",""
"2700","svchost",""
"2712","svchost",""
"2752","svchost",""
"2808","svchost",""
"2864","svchost",""
"2996","svchost",""
"3176","svchost",""
"3256","svchost",""
"3372","svchost",""
"3580","svchost",""
"3612","svchost",""
"3796","svchost",""
"3800","svchost",""
"3896","svchost",""
"3904","svchost",""
"3912","svchost",""
"3920","svchost",""
"3928","svchost",""
"3964","svchost",""
"4084","svchost",""
"4088","svchost",""
"4112","svchost",""
"4244","svchost",""
"4276","svchost",""
"4368","svchost",""
"4468","svchost",""
"4856","svchost",""
"4972","svchost",""
"5452","svchost",""
"5588","svchost",""
"6996","svchost",""
"7076","svchost",""
"7496","svchost",""
"8544","svchost",""
"9176","svchost",""
"11804","svchost",""
"12164","svchost",""
"13192","svchost",""
"2296","SynTPEnh",""
"2340","SynTPEnhService",""
"1572","SynTPHelper",""
"4","System",""
"2164","taskhostw",""
"9996","taskhostw",""
"12352","TextInputHost","Microsoft Text Input Application"
"5980","UserOOBEBroker",""
"6764","WhatsApp.Root",""
"788","wininit",""
"1084","winlogon",""
"3448","wlanext",""
"12252","WUDFHost",""
